Path,ClassId,ShapeId,ColorId,SignId,Label
Meta/0.png,0,1,0,3.29,Speed Limit:20
Meta/1.png,1,1,0,3.29,Speed Limit:30
Meta/2.png,2,1,0,3.29,Speed Limit:50
Meta/3.png,3,1,0,3.29,Speed Limit:60
Meta/4.png,4,1,0,3.29,Speed Limit:70
Meta/5.png,5,1,0,3.29,Speed Limit:80
Meta/6.png,6,1,3,3.3,Speed Limit Ends
Meta/7.png,7,1,0,3.29,Speed Limit:100
Meta/8.png,8,1,0,3.29,Speed Limit:120
Meta/9.png,9,1,0,3.25,Overtaking Not Allowed
Meta/10.png,10,1,0,3.27,Overtaking Prohibited for Trucks
Meta/11.png,11,0,0,1.22,"Crossroad Ahead, side roads to right and left"
Meta/12.png,12,2,2,2.3,Priority road ahead
Meta/13.png,13,4,0,2.1,Give way to all traffic
Meta/14.png,14,3,0,2.2,Stop and give way to all traffic
Meta/15.png,15,1,0,3.1,Entry not allowed
Meta/16.png,16,1,0,3.3,Lorries- Trucks forbidden
Meta/17.png,17,1,0,3.21,No entry(one-way traffic)
Meta/18.png,18,0,0,1.39,Cars not allowed
Meta/19.png,19,0,0,1.2,Road ahead curves to the left side
Meta/20.png,20,0,0,1.1,Road ahead curves to the right side
Meta/21.png,21,0,0,1.3.2,"double curve ahead, to the left then to the right"
Meta/22.png,22,0,0,1.1,Poor road surface ahead
Meta/23.png,23,0,0,1.13,Slippery road surface ahead
Meta/24.png,24,0,0,1.5.2,road gets narrow on the right side
Meta/25.png,25,0,0,1.37,Roadworks ahead warning
Meta/26.png,26,0,0,1.24,Traffic light ahead
Meta/27.png,27,0,0,1.32,Warning for pedestrians
Meta/28.png,28,0,0,1.33,Warning for children and minors
Meta/29.png,29,0,0,1.34,warning for bikes and cyclists
Meta/30.png,30,0,0,None,Uncontrolled crossroad ahead
Meta/31.png,31,0,0,1.36,Deer crossing in area- road
Meta/32.png,32,1,3,3.42,End of Zone
Meta/33.png,33,1,1,4.2,Turning right compulsory
Meta/34.png,34,1,1,4.3,Left turn mandatory
Meta/35.png,35,1,1,4.1,Ahead Only
Meta/36.png,36,1,1,4.4,Driving straight ahead or turning right mandatory
Meta/37.png,37,1,1,4.5,Driving straight ahead or turning left mandatory
Meta/38.png,38,1,1,4.7,Pass on right only
Meta/39.png,39,1,1,4.8,Passing left compulsory
Meta/40.png,40,1,1,4.1,Direction of traffic on roudabout
Meta/41.png,41,1,3,3.26,End of the overtaking prohibition
Meta/42.png,42,1,3,3.28,End of the overtaking prohibition for trucks
